coordinate_id,source,longitude,latitude,year,presence_type,georef_method,source_detail,location_name,state,locality,case_count,reference,notes
1,Pigott_et_al_2014_Dryad,36.049,13.964,2000,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
2,Pigott_et_al_2014_Dryad,36.13,13.65,2000,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
3,Pigott_et_al_2014_Dryad,35.417175,13.851414,2000,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
4,Pigott_et_al_2014_Dryad,32.532,15.548,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
5,Pigott_et_al_2014_Dryad,32.61,15.5,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
6,Pigott_et_al_2014_Dryad,33.51,14.46,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
7,Pigott_et_al_2014_Dryad,35.4,14.03,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
8,Pigott_et_al_2014_Dryad,32.476,15.645,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
9,Pigott_et_al_2014_Dryad,35.417175,13.851414,2001,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
10,Pigott_et_al_2014_Dryad,33.93,13.15,2002,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
11,Pigott_et_al_2014_Dryad,35.4,14.03,2002,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
12,Pigott_et_al_2014_Dryad,33.63,13.55,2002,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
13,Pigott_et_al_2014_Dryad,33.51,14.46,2002,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
14,Pigott_et_al_2014_Dryad,35.384789,14.039674,2003,vl_case,polygon_centroid,literature,,,,,10.1038/sdata.2014.36,
15,Pigott_et_al_2014_Dryad,32.53,15.58,2003,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
16,Pigott_et_al_2014_Dryad,35.4,14.03,2003,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
17,Pigott_et_al_2014_Dryad,35.368652,13.859414,2004,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
18,Pigott_et_al_2014_Dryad,35.382042,14.037342,2004,vl_case,polygon_centroid,literature,,,,,10.1038/sdata.2014.36,
19,Pigott_et_al_2014_Dryad,35.747681,13.544541,2004,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
20,Pigott_et_al_2014_Dryad,35.4,14.01,2004,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
21,Pigott_et_al_2014_Dryad,35.368652,13.859414,2005,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
22,Pigott_et_al_2014_Dryad,36.154175,13.613956,2005,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
23,Pigott_et_al_2014_Dryad,35.382042,14.037342,2005,vl_case,polygon_centroid,literature,,,,,10.1038/sdata.2014.36,
24,Pigott_et_al_2014_Dryad,35.747681,13.544541,2005,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
25,Pigott_et_al_2014_Dryad,35.368652,13.859414,2006,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
26,Pigott_et_al_2014_Dryad,36.121216,13.581921,2006,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
27,Pigott_et_al_2014_Dryad,35.747681,13.512497,2006,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
28,Pigott_et_al_2014_Dryad,36.1574,12.9545,2007,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
29,Pigott_et_al_2014_Dryad,33.5675,13.5671,2007,vl_case,published_coord,GenBank,,,,,10.1038/sdata.2014.36,
30,Pigott_et_al_2014_Dryad,36.1574,12.9545,2008,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
31,Pigott_et_al_2014_Dryad,36.1574,12.9545,2009,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
32,Pigott_et_al_2014_Dryad,32.4833,12.15,2010,vl_case,published_coord,literature,,,,,10.1038/sdata.2014.36,
33,Pigott_et_al_2014_Dryad,25.34936,13.62793,2012,vl_case,published_coord,HealthMap,,,,,10.1038/sdata.2014.36,
34,Mueller_et_al_2012_Fig2,36.03361,13.99488,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
35,Mueller_et_al_2012_Fig2,36.05533,13.97169,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
36,Mueller_et_al_2012_Fig2,36.05722,13.95817,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
37,Mueller_et_al_2012_Fig2,36.05911,13.93788,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
38,Mueller_et_al_2012_Fig2,36.09312,13.87508,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
39,Mueller_et_al_2012_Fig2,36.0969,13.87991,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
40,Mueller_et_al_2012_Fig2,36.10351,13.87991,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
41,Mueller_et_al_2012_Fig2,36.11107,13.85865,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
42,Mueller_et_al_2012_Fig2,36.10256,13.85672,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
43,Mueller_et_al_2012_Fig2,36.12996,13.8258,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
44,Mueller_et_al_2012_Fig2,36.16774,13.79006,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
45,Mueller_et_al_2012_Fig2,36.19419,13.76687,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
46,Mueller_et_al_2012_Fig2,36.22442,13.71663,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
47,Mueller_et_al_2012_Fig2,36.09406,13.74078,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
48,Mueller_et_al_2012_Fig2,36.24615,13.68474,2011,vl_case,digitized_map,,,Gedaref,Al-Gureisha,,10.1371/journal.pntd.0001872,
