"state","total_pop","arp_p10","arp_maxsss","arp_weighted","pct_p10","pct_maxsss","pct_weighted"
"Al Qadarif",3460782.09697916,3457245.08854172,3423086.85971069,2922979.2377137,99.9,98.9,84.5
"Khartoum",10664712.3897951,9568375.74626669,3977248.64267205,2446872.37296758,89.7,37.3,22.9
"Sennar",2667085.12526305,2655941.51448132,2364647.13702817,1708591.83918674,99.6,88.7,64.1
"Al Jazirah",5630168.94646485,3634514.89782883,1692824.72737745,1195755.85164043,64.6,30.1,21.2
"Kassala",2499983.53423946,2444963.29525222,2043035.24377115,1190533.24683265,97.8,81.7,47.6
"White Nile",3193177.51769582,2701545.75135095,1879819.90585066,1057183.49624347,84.6,58.9,33.1
"Blue Nile",1244572.07238926,1243382.60338518,1223795.18967059,1030975.85857963,99.9,98.3,82.8
"West Kurdufan",2445075.22154105,1412116.46109401,1097995.66353198,726661.832797719,57.8,44.9,29.7
"South Kurdufan",1472666.43393315,1153305.07700049,793322.959297662,563484.343885768,78.3,53.9,38.3
"South Darfur",4506712.58764948,1205946.99456926,88487.149062987,404708.421276301,26.8,2,9
"North Kurdufan",2194667.98601751,989573.716313893,304183.661181342,304874.697390564,45.1,13.9,13.9
"East Darfur",1706994.30051447,906470.042755304,336660.95930161,281837.973477286,53.1,19.7,16.5
"River Nile",1675123.20352807,162599.740795357,26879.9260677544,98442.5585747018,9.7,1.6,5.9
"West Darfur",1303267.56894536,180351.097454258,20708.9033637493,85383.9031657272,13.8,1.6,6.6
"North Darfur",2480407.0217394,75834.5925300435,1075.91310328309,82716.7511501189,3.1,0,3.3
"Red Sea",1519343.98015624,26901.1190127989,13774.8386826952,77371.0745379707,1.8,0.9,5.1
"Central Darfur",972361.22942733,173296.079857859,22620.3787857467,66339.545436558,17.8,2.3,6.8
"Northern",1126673.81684683,0.463328102603555,0.180030576884747,4006.92227615444,0,0,0.4
