"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.88008806601484,NA,0.779,NA,0.0434782608695652,NA
"L",1,0.879932043547604,NA,0.793,NA,0.0434782608695652,NA
"L",1.5,0.879984051036683,NA,0.791,NA,0.0434782608695652,NA
"L",2,0.880001386866375,NA,0.786,NA,0.0434782608695652,NA
"L",2.5,0.880018722696068,NA,0.795,NA,0.0434782608695652,NA
"L",3,0.880018722696068,NA,0.787,NA,0.0434782608695652,NA
"L",3.5,0.880209416822689,NA,0.798,NA,0.0434782608695652,NA
"L",4,0.880296095971153,NA,0.804,NA,0.0434782608695652,NA
"LQ",1.5,0.889380070730185,NA,0.851,NA,0.0434782608695652,NA
"LQ",2,0.888461271756466,NA,0.847,NA,0.0434782608695652,NA
"LQ",2.5,0.886953054573192,NA,0.824,NA,0.0434782608695652,NA
"LQ",3,0.886224949726094,NA,0.809,NA,0.0434782608695652,NA
"LQ",3.5,0.885306150752375,NA,0.785,NA,0.0434782608695652,NA
"LQ",4,0.884508702586506,NA,0.812,NA,0.0434782608695652,NA
"LQH",0.5,0.873205741626794,NA,0.884,NA,0.130434782608696,NA
"LQH",1,0.885774218154081,NA,0.908,NA,0.130434782608696,NA
"LQH",1.5,0.89286457249844,NA,0.849,NA,0.130434782608696,NA
"LQH",2,0.896279730947923,NA,0.782,NA,0.130434782608696,NA
"LQH",2.5,0.898117328895361,NA,0.807,NA,0.0869565217391304,NA
"LQH",3,0.897545246515498,NA,0.79,NA,0.0869565217391304,NA
"LQH",3.5,0.896089036821302,NA,0.76,NA,0.130434782608696,NA
"LQH",4,0.893453990707995,NA,0.811,NA,0.130434782608696,NA
"LQHP",0.5,0.866548783024756,NA,0.851,NA,0.217391304347826,NA
"LQHP",1,0.886068927258859,NA,0.827,NA,0.130434782608696,NA
"LQHP",1.5,0.895412939463283,NA,0.826,NA,0.130434782608696,NA
"LQHP",2,0.898741418764302,NA,0.79,NA,0.130434782608696,NA
"LQHP",2.5,0.900735039178975,NA,0.791,NA,0.0869565217391304,NA
"LQHP",3,0.899504195270786,NA,0.804,NA,0.0869565217391304,NA
"LQHP",3.5,0.899105471187851,NA,0.755,NA,0.130434782608696,NA
"LQHP",4,0.899226821995701,NA,0.729,NA,0.130434782608696,NA
