"state","total_pop","arp_p10","arp_maxsss","arp_weighted","pct_p10","pct_maxsss","pct_weighted"
"Al Qadarif",3460782.09697916,3435471.74429289,3296627.82568693,2892753.7956374,99.3,95.3,83.6
"Sennar",2667085.12526305,2628328.49532443,2213624.22258891,1686796.66963077,98.5,83,63.2
"Khartoum",10664712.3897951,6344221.7978882,314188.451115513,1675258.12450959,59.5,2.9,15.7
"Al Jazirah",5630168.94646485,3394406.96931685,932675.714990503,1128310.66236997,60.3,16.6,20
"Kassala",2499983.53423946,2295357.01652029,1677301.00411692,1021762.3563155,91.8,67.1,40.9
"White Nile",3193177.51769582,2476398.58713499,1367872.24682235,1005504.94627517,77.6,42.8,31.5
"Blue Nile",1244572.07238926,1219281.27046815,1160787.70791186,960596.297481994,98,93.3,77.2
"West Kurdufan",2445075.22154105,1352495.66315671,870929.341343443,671008.061199347,55.3,35.6,27.4
"South Kurdufan",1472666.43393315,1052200.21901682,623494.212684328,519674.515885253,71.4,42.3,35.3
"South Darfur",4506712.58764948,801588.58449641,15970.044667314,376470.046720321,17.8,0.4,8.4
"North Kurdufan",2194667.98601751,838338.483179255,110956.157198376,280594.130343057,38.2,5.1,12.8
"East Darfur",1706994.30051447,688001.363687158,211726.820681134,264825.948833579,40.3,12.4,15.5
"Red Sea",1519343.98015624,441725.419918279,2358.75844357834,161324.528708098,29.1,0.2,10.6
"River Nile",1675123.20352807,314236.262928046,7247.52352839103,140427.587197549,18.8,0.4,8.4
"West Darfur",1303267.56894536,199171.798032307,18547.4130792469,88061.3848143217,15.3,1.4,6.8
"North Darfur",2480407.0217394,61785.6209035458,389.89872216736,69271.5029472342,2.5,0,2.8
"Central Darfur",972361.22942733,163285.806632337,10928.7879545693,68026.3579523637,16.8,1.1,7
"Northern",1126673.81684683,4711.38626118444,0.180030576884747,19181.5023055565,0.4,0,1.7
