"state","full_uniform","full_sqrt","masked_uniform","masked_sqrt","full_delta","masked_delta","outside_delta"
"Khartoum",2089301.73669566,3117295.74937831,81397.4976413537,105171.54884792,1027994.01268265,23774.0512065663,1004219.96147609
"Red Sea",203493.705784225,398645.817912199,1998.25959604379,2297.34004864143,195152.112127974,299.080452597639,194853.031675376
"River Nile",176342.635375865,340315.863585647,1040.76029996087,1247.0591052043,163973.228209781,206.29880524343,163766.929404538
"Northern",23922.4971095453,55557.3029656837,0.724978822497237,1.11114562414548,31634.8058561384,0.386166801648245,31634.4196893368
"North Darfur",77205.9765968985,81057.8145082844,77096.2753483556,80856.4737939212,3851.83791138588,3760.19844556561,91.6394658202771
"Kassala",1099760.96911552,1100879.80463151,1093321.12175266,1091698.3969471,1118.83551599528,-1622.724805556,2741.56032155128
"Blue Nile",969509.900597422,969494.951948084,969509.900597422,969494.951948084,-14.9486493383301,-14.9486493383301,0
"Central Darfur",70525.787366314,67914.9636676194,70525.787366314,67914.9636676194,-2610.82369869453,-2610.82369869453,0
"West Darfur",92456.8335249815,84082.7989447853,92456.8335249815,84082.7989447853,-8374.03458019618,-8374.03458019618,0
"South Kurdufan",530425.167729498,518596.486693972,530425.167729498,518596.486693972,-11828.6810355259,-11828.6810355259,0
"North Kurdufan",303152.291361662,288742.040482423,293959.329627504,275371.994470648,-14410.250879239,-18587.3351568563,4177.08427761734
"East Darfur",278216.396026371,260146.048905372,278216.396026371,260146.048905372,-18070.3471209985,-18070.3471209985,0
"South Darfur",401101.509732502,374534.811715254,401101.509732502,374534.811715254,-26566.698017248,-26566.698017248,0
"West Kurdufan",693044.062384504,663810.536702791,693044.062384504,663810.536702791,-29233.5256817135,-29233.5256817135,0
"Al Jazirah",1231820.08268798,1187530.98020051,1226968.89388067,1179558.45204309,-44289.1024874733,-47410.4418375839,3121.33935011062
"White Nile",1069137.38176123,1020774.8135949,1062233.22795471,1010502.22994985,-48362.5681663303,-51730.9980048646,3368.42983853421
"Al Qadarif",2932308.04997038,2880514.25809354,2932308.04997038,2880514.25809354,-51793.7918768399,-51793.7918768399,0
"Sennar",1728614.89917046,1664624.99289116,1728614.89917046,1664624.99289116,-63989.9062792978,-63989.9062792978,0
