"state","total_pop","arp_orig","arp_biased","delta","pct_change","pct_orig","pct_biased"
"Kassala",2499983.53423946,1093321.12175266,1155828.12420154,62507.0024488785,5.7,43.7,46.2
"Khartoum",10664712.3897951,81397.4976413537,114609.97102475,33212.4733833962,40.8,0.8,1.1
"Red Sea",1519343.98015624,1998.25959604379,2608.64797179756,610.388375753769,30.5,0.1,0.2
"River Nile",1675123.20352807,1040.76029996087,1464.84418218147,424.0838822206,40.7,0.1,0.1
"Northern",1126673.81684683,0.724978822497237,1.00071374315473,0.27573492065749,38,0,0
"North Darfur",2480407.0217394,77096.2753483556,75235.016707101,-1861.25864125454,-2.4,3.1,3
"Central Darfur",972361.22942733,70525.787366314,57129.9623530623,-13395.8250132517,-19,7.3,5.9
"West Darfur",1303267.56894536,92456.8335249815,77822.8392497979,-14633.9942751836,-15.8,7.1,6
"North Kurdufan",2194667.98601751,293959.329627504,273390.469316706,-20568.8603107984,-7,13.4,12.5
"East Darfur",1706994.30051447,278216.396026371,254698.675369709,-23517.7206566622,-8.5,16.3,14.9
"Blue Nile",1244572.07238926,969509.900597422,926914.134168179,-42595.7664292431,-4.4,77.9,74.5
"West Kurdufan",2445075.22154105,693044.062384504,639185.590771046,-53858.4716134582,-7.8,28.3,26.1
"South Darfur",4506712.58764948,401101.509732502,346201.443906609,-54900.0658258926,-13.7,8.9,7.7
"Al Jazirah",5630168.94646485,1226968.89388067,1171766.68144531,-55202.2124353643,-4.5,21.8,20.8
"South Kurdufan",1472666.43393315,530425.167729498,474554.543555894,-55870.6241736037,-10.5,36,32.2
"Sennar",2667085.12526305,1728614.89917046,1667279.68373514,-61335.2154353235,-3.5,64.8,62.5
"White Nile",3193177.51769582,1062233.22795471,999705.210492229,-62528.0174624826,-5.9,33.3,31.3
"Al Qadarif",3460782.09697916,2932308.04997038,2860225.52007573,-72082.5298946467,-2.5,84.7,82.6
