"state","arp_weighted","arp_in_mask","arp_novel","arp_hot_night","pct_outside_mask","pct_novel","pct_hot_night"
"Al Qadarif",2932308.04997038,2932308.04997038,0,0,0,0,0
"Khartoum",2089301.73669566,81397.4976413537,0,252396.22560073,96.1,0,12.1
"Sennar",1728614.89917046,1728614.89917046,0,0,0,0,0
"Al Jazirah",1231820.08268798,1226968.89388067,0,8.91294782954174,0.4,0,0
"Kassala",1099760.96911552,1093321.12175266,0.0261811473342659,12870.8751825322,0.6,0,1.2
"White Nile",1069137.38176123,1062233.22795471,0,14962.7346569684,0.6,0,1.4
"Blue Nile",969509.900597422,969509.900597422,0,0,0,0,0
"West Kurdufan",693044.062384504,693044.062384504,5.84664291218678,0,0,0,0
"South Kurdufan",530425.167729498,530425.167729498,0,0,0,0,0
"South Darfur",401101.509732502,401101.509732502,0,0,0,0,0
"North Kurdufan",303152.291361662,293959.329627504,546.823639103527,529.327999987724,3,0.2,0.2
"East Darfur",278216.396026371,278216.396026371,3.53620320941445,0,0,0,0
"Red Sea",203493.705784225,1998.25959604379,180299.81667049,8248.46806030204,99,88.6,4.1
"River Nile",176342.635375865,1040.76029996087,29300.6605636262,3313.05523994872,99.4,16.6,1.9
"West Darfur",92456.8335249815,92456.8335249815,0,0,0,0,0
"North Darfur",77205.9765968985,77096.2753483556,19.3797371868673,0,0.1,0,0
"Central Darfur",70525.787366314,70525.787366314,0,0,0,0,0
"Northern",23922.4971095453,0.724978822497237,23847.6866277312,1.60614560983846,100,99.7,0
