"state","total_pop","arp_w_2025","arp_w_ltm","change","pct_change"
"Al Qadarif",3460782.09697916,3322379.37779716,2932308.04997038,390071,13.3
"Al Jazirah",5630168.94646485,2991825.64528185,1231820.08268798,1760006,142.9
"Khartoum",10664712.3897951,2904247.12484893,2089301.73669566,814945,39
"Sennar",2667085.12526305,2423251.77508062,1728614.89917046,694637,40.2
"White Nile",3193177.51769582,2031404.19002055,1069137.38176123,962267,90
"Kassala",2499983.53423946,1565791.99158489,1099760.96911552,466031,42.4
"West Kurdufan",2445075.22154105,1462555.29349889,693044.062384504,769511,111
"Blue Nile",1244572.07238926,1190776.8287973,969509.900597422,221267,22.8
"South Darfur",4506712.58764948,1040693.90071105,401101.509732502,639592,159.5
"North Kurdufan",2194667.98601751,988654.722321012,303152.291361662,685502,226.1
"South Kurdufan",1472666.43393315,895119.598384549,530425.167729498,364694,68.8
"East Darfur",1706994.30051447,626558.597866354,278216.396026371,348342,125.2
"North Darfur",2480407.0217394,485620.483767415,77205.9765968985,408415,529
"River Nile",1675123.20352807,326534.838267111,176342.635375865,150192,85.2
"Red Sea",1519343.98015624,288440.84598699,203493.705784225,84947,41.7
"West Darfur",1303267.56894536,257355.845185162,92456.8335249815,164899,178.4
"Central Darfur",972361.22942733,183152.427088952,70525.787366314,112627,159.7
"Northern",1126673.81684683,86030.4657485492,23922.4971095453,62108,259.6
