"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.831676800169284,0.0756263452101675,0.713,0.242290459297651,0.125519305962854,0.163617822917862
"L",1,0.831775041085236,0.0759915921078128,0.71725,0.23003677242273,0.125519305962854,0.163617822917862
"L",1.5,0.83184733199798,0.0764313987886014,0.734,0.210163428470956,0.125519305962854,0.163617822917862
"L",2,0.831908791093046,0.0768391979022319,0.7465,0.188116098903487,0.125519305962854,0.163617822917862
"L",2.5,0.832022039195641,0.0772129149641991,0.7475,0.185028826582959,0.125519305962854,0.163617822917862
"L",3,0.832127739174119,0.0776269435563906,0.761,0.172640281124269,0.125519305962854,0.163617822917862
"L",3.5,0.832267069777937,0.0780765436427166,0.778,0.155192353763536,0.125519305962854,0.163617822917862
"L",4,0.83231282449561,0.0783927918272528,0.77925,0.150420244648119,0.125519305962854,0.163617822917862
"LQ",0.5,0.859674953917476,0.0758845609536503,0.86525,0.149998611104681,0.144061583577713,0.168148748092005
"LQ",1,0.856575322462349,0.075076776947168,0.8755,0.125879572078502,0.144061583577713,0.168148748092005
"LQ",1.5,0.854247005544763,0.0732500948126865,0.86625,0.104279672036308,0.154478250244379,0.15718243733875
"LQ",2,0.851958749702403,0.0726981411703488,0.859,0.103276328362312,0.138349217986315,0.145916339284608
"LQ",2.5,0.850039750336993,0.0727026994757271,0.8645,0.101483988884947,0.138349217986315,0.145916339284608
"LQ",3,0.848367281693168,0.0729294743166544,0.86675,0.11358513693848,0.130284701857282,0.142704747104646
"LQ",3.5,0.846453173562472,0.072749987236934,0.8775,0.115037674988095,0.130284701857282,0.142704747104646
"LQ",4,0.84422332645731,0.0729778405314591,0.84475,0.113966003702859,0.130284701857282,0.142704747104646
"LQH",0.5,0.851006914867918,0.0782816579206727,0.83,0.168837199692485,0.182512044407206,0.159226297499949
"LQH",1,0.858124004201236,0.0768722102197336,0.85075,0.122363869939891,0.162542766373412,0.164906415646147
"LQH",1.5,0.857920537126954,0.0782648266044318,0.79825,0.143783112128418,0.165841886608016,0.173734169676815
"LQH",2,0.85677113004013,0.0791638076401523,0.79325,0.152707509092819,0.146413734115347,0.150793907892208
"LQH",2.5,0.856082510340199,0.0784288992026066,0.82875,0.148014357411705,0.146413734115347,0.150793907892208
"LQH",3,0.854924071250834,0.0770089991326174,0.84425,0.157356018844742,0.138349217986315,0.145916339284608
"LQH",3.5,0.854849131078326,0.0771821066342005,0.84625,0.15371266484364,0.138349217986315,0.145916339284608
"LQH",4,0.855708720132337,0.0783090395133567,0.84475,0.168505934613592,0.138349217986315,0.145916339284608
"LQHP",0.5,0.851021077843398,0.0723471648713729,0.779,0.198838292757373,0.15266722524787,0.15022850723518
"LQHP",1,0.856592384897098,0.0752206678385492,0.78825,0.167261023553008,0.182512044407206,0.159226297499949
"LQHP",1.5,0.857742948083329,0.0782890163197615,0.79575,0.170591861861383,0.146413734115347,0.150793907892208
"LQHP",2,0.858021860297641,0.0782164468950313,0.83925,0.179917342132436,0.146413734115347,0.150793907892208
"LQHP",2.5,0.857365852176358,0.077852251058877,0.82425,0.214022389794464,0.126985581622678,0.127900876707877
"LQHP",3,0.857395444383,0.0773481143260836,0.80325,0.223150733810131,0.138349217986315,0.145916339284608
"LQHP",3.5,0.85710317872718,0.0771268891460086,0.8095,0.194683503838067,0.138349217986315,0.145916339284608
"LQHP",4,0.858392730899403,0.078087379130407,0.8115,0.176926538427676,0.130284701857282,0.142704747104646
