"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.837820345491121,0.10550029751017,0.678,0.141750955317181,0.116863443278361,0.183862273528589
"L",1,0.838193736950646,0.105818641686992,0.66675,0.146313305387218,0.116863443278361,0.183862273528589
"L",1.5,0.838783527698656,0.10619170694006,0.714,0.144529120479807,0.116863443278361,0.183862273528589
"L",2,0.839391558724491,0.10642908288826,0.739,0.134541195673791,0.116863443278361,0.183862273528589
"L",2.5,0.839899122226189,0.106531692440505,0.7275,0.146852533742754,0.116863443278361,0.183862273528589
"L",3,0.840494184587568,0.106738015495077,0.74275,0.158968288242236,0.116863443278361,0.183862273528589
"L",3.5,0.84098413646954,0.106879290410458,0.76225,0.159219711928727,0.116863443278361,0.183862273528589
"L",4,0.841408238609862,0.107218678697329,0.751,0.183669993920255,0.116863443278361,0.183862273528589
"LQ",0.5,0.852569489674003,0.0946012889386807,0.85075,0.0603123812606776,0.132308845577211,0.18450071402679
"LQ",1,0.850234679932988,0.0977758409162613,0.7945,0.0780960946526777,0.142725512243878,0.175497280730201
"LQ",1.5,0.846776397584102,0.0992021716794842,0.75475,0.145909503917097,0.134104822588706,0.176654404371315
"LQ",2,0.844146701014442,0.100769008659384,0.7235,0.127951813846724,0.125484132933533,0.179468080574011
"LQ",2.5,0.843254424609118,0.10140316421222,0.70175,0.135662264465842,0.125484132933533,0.179468080574011
"LQ",3,0.842347478875574,0.101240899396157,0.71225,0.121192340242003,0.125484132933533,0.179468080574011
"LQ",3.5,0.841831284345022,0.102218966253793,0.68725,0.139035666886834,0.116863443278361,0.183862273528589
"LQ",4,0.842395192556798,0.103728752708224,0.703,0.133459107345034,0.108242753623188,0.189727197919354
"LQH",0.5,0.846167860204108,0.0909894731791142,0.77175,0.159125474599973,0.15134620189905,0.176029380572256
"LQH",1,0.852800902701404,0.0950881180765891,0.7365,0.216594090408764,0.142725512243878,0.175497280730201
"LQH",1.5,0.852146522721753,0.0967772400859748,0.76425,0.189130246126842,0.134104822588706,0.176654404371315
"LQH",2,0.851122864102349,0.0978950667158046,0.76775,0.143190723628779,0.134104822588706,0.176654404371315
"LQH",2.5,0.848717697090596,0.0991614305215464,0.7805,0.0914530845114951,0.134104822588706,0.176654404371315
"LQH",3,0.846999718392947,0.101867385552698,0.794,0.125083971794951,0.125484132933533,0.179468080574011
"LQH",3.5,0.845457320662945,0.103578822854711,0.75425,0.141939834671831,0.116863443278361,0.183862273528589
"LQH",4,0.844605588215985,0.104934406525992,0.7035,0.129703508048163,0.116863443278361,0.183862273528589
"LQHP",0.5,0.84604034571154,0.0881326804331127,0.77625,0.184954724189462,0.17038355822089,0.170046554938481
"LQHP",1,0.850499664485345,0.0916691061580698,0.755,0.262096674276242,0.15134620189905,0.176029380572256
"LQHP",1.5,0.850613396410855,0.0942581136284989,0.747,0.260731023598395,0.134104822588706,0.176654404371315
"LQHP",2,0.849665546220007,0.0965646727945223,0.80475,0.168875447199013,0.134104822588706,0.176654404371315
"LQHP",2.5,0.84925568962407,0.0996495394271876,0.8025,0.0917587416362423,0.125484132933533,0.179468080574011
"LQHP",3,0.848060984800572,0.102359176552953,0.796,0.127064288190401,0.125484132933533,0.179468080574011
"LQHP",3.5,0.847168487774361,0.103788005247677,0.7795,0.0995473086862054,0.125484132933533,0.179468080574011
"LQHP",4,0.846862802242771,0.105845000293034,0.7535,0.113138558119384,0.125484132933533,0.179468080574011
