"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.725923591186782,0.0716975261814673,0.557,0.183082859201328,0.181253123438281,0.189187530737316
"L",1,0.725419604990175,0.0714201967311136,0.5475,0.193997422663292,0.181253123438281,0.189187530737316
"L",1.5,0.72469732167551,0.0709322298021151,0.55175,0.202807585328228,0.181253123438281,0.189187530737316
"L",2,0.72400954525469,0.070528218613878,0.5545,0.195227218047758,0.181253123438281,0.189187530737316
"L",2.5,0.724042373214658,0.0704994388636374,0.59325,0.185021395159227,0.181253123438281,0.189187530737316
"L",3,0.724430178403832,0.070706529148003,0.59025,0.188634346466031,0.181253123438281,0.189187530737316
"L",3.5,0.724747896872205,0.070857673286163,0.6095,0.182910725036378,0.181253123438281,0.189187530737316
"L",4,0.725135010512703,0.0709153034812545,0.61525,0.182881336755103,0.181253123438281,0.189187530737316
"LQ",0.5,0.783132492522029,0.0701318259707766,0.80525,0.0893583609220014,0.140476636681659,0.156536334565229
"LQ",1,0.777192097904125,0.0750423420111295,0.73725,0.051861192941672,0.150893303348326,0.148972918436841
"LQ",1.5,0.771407764584261,0.0728644843008786,0.75175,0.0630099198539405,0.161309970014993,0.144049617742005
"LQ",2,0.765396521557587,0.0713071289538727,0.771,0.0620053761110008,0.15268928035982,0.144195343999926
"LQ",2.5,0.761516932509011,0.0714351876546998,0.791,0.0733439386270831,0.174428410794603,0.184377154340732
"LQ",3,0.75796907418814,0.0728174881351373,0.78125,0.0604559067971581,0.174428410794603,0.184377154340732
"LQ",3.5,0.755279900134949,0.0733725805601249,0.7865,0.0576743732808024,0.164011744127936,0.189214096281236
"LQ",4,0.752309864254297,0.0738153390026457,0.779,0.0766594199473663,0.164011744127936,0.189214096281236
"LQH",0.5,0.776800308019811,0.0662902036886732,0.80175,0.11075310379398,0.180347326336832,0.143138994446223
"LQH",1,0.783656879290689,0.0717458864214904,0.798,0.127512090929972,0.178551349325337,0.149832818886513
"LQH",1.5,0.782794839641295,0.0749386537061001,0.8255,0.0698880056471304,0.178551349325337,0.149832818886513
"LQH",2,0.778617816854594,0.076379576097555,0.772,0.144833237437636,0.180347326336832,0.143138994446223
"LQH",2.5,0.775489197140128,0.0803974640202154,0.71375,0.147350771969474,0.171726636681659,0.142041225956415
"LQH",3,0.772497729489248,0.08348902952898,0.7045,0.217059899566917,0.171726636681659,0.142041225956415
"LQH",3.5,0.769100983506515,0.085522119721339,0.66975,0.197690625304624,0.18259620189905,0.160476264772355
"LQH",4,0.767634529898005,0.0856920930653366,0.66825,0.129888092859456,0.167603698150925,0.190793028030272
"LQHP",0.5,0.780954316724378,0.0563793031161085,0.71825,0.265075303766056,0.180347326336832,0.143138994446223
"LQHP",1,0.783914638424674,0.0607023797052908,0.767,0.253586277231241,0.159513993003498,0.151607781761127
"LQHP",1.5,0.781283058817165,0.0642080675151886,0.776,0.210451894740817,0.168134682658671,0.156113544814394
"LQHP",2,0.78047398443358,0.0693376327308539,0.76975,0.163998729669877,0.159513993003498,0.151607781761127
"LQHP",2.5,0.778545107312943,0.0753226199049229,0.724,0.145492267835786,0.171726636681659,0.142041225956415
"LQHP",3,0.775220606892636,0.0812098708904713,0.677,0.169713484044924,0.163105947026487,0.143028592709196
"LQHP",3.5,0.773203751460042,0.0805502579060574,0.69525,0.105465239139096,0.163105947026487,0.143028592709196
"LQHP",4,0.772639871536039,0.0805728724834127,0.70375,0.0986960823268415,0.163105947026487,0.143028592709196
