"fc","rm","auc.val.avg","auc.val.sd","cbi.val.avg","cbi.val.sd","or.10p.avg","or.10p.sd"
"L",0.5,0.851503728789994,0.11279299299138,0.776,0.107666150669558,0.129076086956522,0.184482652961888
"L",1,0.851328727493099,0.112858392866244,0.78225,0.12015649517747,0.129076086956522,0.184482652961888
"L",1.5,0.851169756295392,0.112910613822097,0.79875,0.0947395552730396,0.139492753623188,0.185350080614908
"L",2,0.851006450316106,0.112918100264209,0.8155,0.080971188291474,0.139492753623188,0.185350080614908
"L",2.5,0.850828925063733,0.112888722084426,0.8095,0.0925868961210675,0.139492753623188,0.185350080614908
"L",3,0.850567793336624,0.112903356406256,0.8115,0.104602421896755,0.139492753623188,0.185350080614908
"L",3.5,0.850306823594964,0.112932921533557,0.82675,0.0901420175796689,0.139492753623188,0.185350080614908
"L",4,0.850104204127366,0.112828633146476,0.81325,0.11749716308632,0.139492753623188,0.185350080614908
"LQ",0.5,0.867844533519345,0.104190302499443,0.83175,0.12815192806457,0.127280109945027,0.17930578366175
"LQ",1,0.867401162416822,0.106488912176767,0.82925,0.138653945730609,0.118659420289855,0.185959946384471
"LQ",1.5,0.865019544440727,0.110253511876775,0.8435,0.0942638141954094,0.129076086956522,0.184482652961888
"LQ",2,0.863646989882645,0.110902526550057,0.845,0.0946467115118112,0.129076086956522,0.184482652961888
"LQ",2.5,0.862233117239376,0.111279729361716,0.844,0.104696386438756,0.129076086956522,0.184482652961888
"LQ",3,0.86102680710295,0.111218994621325,0.8325,0.148329587967697,0.129076086956522,0.184482652961888
"LQ",3.5,0.85937004940626,0.110941417517383,0.83775,0.16434998225332,0.129076086956522,0.184482652961888
"LQ",4,0.85743671731104,0.110729617901303,0.83525,0.141867015193807,0.129076086956522,0.184482652961888
"LQH",0.5,0.857865871679513,0.104175366331291,0.73825,0.259988942072543,0.1671507996002,0.172743117321456
"LQH",1,0.866354624983842,0.110107371506551,0.77475,0.223022233570258,0.118659420289855,0.185959946384471
"LQH",1.5,0.866818168399567,0.111731003007859,0.7985,0.158485540875711,0.118659420289855,0.185959946384471
"LQH",2,0.86630918105815,0.114158967357827,0.82325,0.146720539348336,0.118659420289855,0.185959946384471
"LQH",2.5,0.865383202925553,0.116699137966256,0.8335,0.0810945949699074,0.118659420289855,0.185959946384471
"LQH",3,0.863668093966478,0.119235076728699,0.8575,0.0452143045211727,0.139492753623188,0.185350080614908
"LQH",3.5,0.862321549395629,0.119078501323042,0.8785,0.0671043962792304,0.139492753623188,0.185350080614908
"LQH",4,0.86075957778054,0.117995976874941,0.8915,0.0437607129740821,0.139492753623188,0.185350080614908
"LQHP",0.5,0.851804321285748,0.103112193328896,0.7865,0.226719356621058,0.177567466266867,0.177251718271155
"LQHP",1,0.86081146337381,0.110139567915561,0.7855,0.245183604672091,0.148113443278361,0.1773279097495
"LQHP",1.5,0.862653607257907,0.113611730063153,0.837,0.127431027095706,0.118659420289855,0.185959946384471
"LQHP",2,0.863361042754386,0.116350122596487,0.81975,0.141916348600152,0.118659420289855,0.185959946384471
"LQHP",2.5,0.862851202419362,0.119028661137681,0.8585,0.0985579355844402,0.118659420289855,0.185959946384471
"LQHP",3,0.86143957241785,0.120682343183724,0.8885,0.0783560250820999,0.118659420289855,0.185959946384471
"LQHP",3.5,0.8611940645052,0.120724810898163,0.8765,0.0727988095140756,0.118659420289855,0.185959946384471
"LQHP",4,0.860783025810405,0.119478240696146,0.89125,0.0648710258898378,0.118659420289855,0.185959946384471
