"state","total_pop","pop_beyond","pop_na_tt","pct_beyond","pct_na"
"Central Darfur",975209,327499,0,33.6,0
"North Kurdufan",2194290,713149,0,32.5,0
"East Darfur",1709458,481202,0,28.1,0
"North Darfur",2478768,651474,0,26.3,0
"South Kurdufan",1471906,300698,0,20.4,0
"West Kurdufan",2446953,458796,0,18.7,0
"West Darfur",1302473,145332,0,11.2,0
"South Darfur",4505108,502173,0,11.1,0
"Kassala",2501878,165571,0,6.6,0
"Al Qadarif",3460682,209550,0,6.1,0
"Northern",1126712,62756,0,5.6,0
"Blue Nile",1245658,65711,0,5.3,0
"White Nile",3190006,161974,0,5.1,0
"River Nile",1675172,64276,0,3.8,0
"Al Jazirah",5644062,208261,0,3.7,0
"Red Sea",1561753,43249,51477,2.8,3.3
"Sennar",2660321,33290,0,1.3,0
"Khartoum",10659978,57587,0,0.5,0
